E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
1685676.97857995,-4633.16585956,7.98053162,226645.51446329,-19843.87398943,222247.45833639,0.00078424,-0.00050508,869.23233402,225498.60126741,0.00010000,-0.00049629,869.18415784
1657709.80524074,-4624.71448193,7.91879627,242674.15533217,-19104.16463135,218409.96751590,0.00017395,-0.00055064,861.61343850,220399.81368566,0.00010000,-0.00054144,867.83357660
1360081.39885116,-4621.16304217,7.96264220,244176.66504510,-12803.45387276,206511.38697932,0.00073072,-0.00051361,876.04283906,209229.36760308,0.00010000,-0.00050735,864.12437644
1491212.10711545,-4605.68777178,7.96787767,241495.71109455,-13156.99505882,213209.14962207,0.00181670,-0.00048289,876.04180059,218353.96892042,0.00010000,-0.00047299,873.88690289
1674544.12880154,-4590.71201760,7.90059428,220022.21201731,-16417.92914264,213160.94314099,0.00062841,-0.00052063,862.81175823,215906.08065707,0.00010000,-0.00051190,864.52421062
1702740.13013632,-4581.41189923,7.90745830,224320.38200375,-22948.78431189,219310.80097766,0.00085748,-0.00046736,860.11534536,221706.88932399,0.00010000,-0.00046061,866.93153061
1641651.29508181,-4570.60994691,7.91815261,217897.56243758,-8229.31705679,211808.13012658,0.00210158,-0.00047645,862.31823720,217477.35465313,0.00010000,-0.00046689,855.55918529
1720156.05260474,-4560.86363142,7.87322260,222798.20024185,-17141.06474716,223376.20750347,0.00087124,-0.00047671,854.36433501,225878.65397747,0.00010000,-0.00046987,861.75106389
1353842.02677957,-4558.24021729,7.84159649,246556.50824945,-9764.28774339,206742.36756008,0.00084106,-0.00048052,874.76162866,209839.98286871,0.00010000,-0.00047338,864.84996317
1723906.83870027,-4539.85318641,7.87141602,233154.42317222,-17381.16958238,223278.84412544,0.00077499,-0.00047077,853.60204202,225604.93758413,0.00010000,-0.00046413,860.34224580
1282476.42368556,-4540.90240800,7.84676447,254882.77274778,195.64321561,199374.86283403,0.00074472,-0.00048780,923.05894088,211327.00252326,0.00010034,-0.00045895,860.73977661
1908576.82610451,-4517.76521565,7.95176261,201489.28919732,-15840.66338547,215997.98177847,0.00054164,-0.00052036,855.88629385,218575.81342261,0.00010000,-0.00051185,859.67234997
1740900.64466354,-4506.76258925,7.91021922,216595.77507533,-4398.91627539,217822.30608203,0.00084431,-0.00048890,848.90429139,220246.68893259,0.00010000,-0.00048220,855.92461213
767028.15027072,-4540.30784373,7.87597964,246900.41678531,-1570.00963947,169508.73546857,0.00070473,-0.00044152,845.68648455,171921.42203523,0.00010000,-0.00043103,851.11377347
898642.47583753,-4519.58188604,7.96435475,210540.69909964,-3593.24864764,181140.89434793,0.00021320,-0.00046320,856.97476571,183084.99568908,0.00010000,-0.00045304,862.21842463
227081.27931043,-4598.39680108,7.80990245,217269.50101744,34298.41334743,108634.18486935,0.00018609,-0.00027228,849.57303532,109915.32135575,0.00010000,-0.00025712,858.97722969
280928.90293327,-4648.65891264,7.78576756,233290.83873254,19666.70629431,75389.08805163,0.05192406,-0.00026504,850.02111149,89789.22851482,0.03376005,-0.00022439,859.12429317
268570.35893781,-4651.93569524,7.73952327,231496.62608554,-1413.57230709,114999.48004664,0.00019920,-0.00029511,848.20520306,116075.44646033,0.00010000,-0.00028050,858.03957646
1967529.27341290,-4443.54504230,8.00185604,193471.72199364,-8399.73394622,213381.48010346,0.00037362,-0.00050292,852.66467996,215589.95829839,0.00010000,-0.00049494,855.19787489
315483.20947124,-4600.22383086,7.75423767,239733.19134328,3167.24663672,123315.13459088,0.00019260,-0.00034918,835.51163317,124389.22300582,0.00010000,-0.00033636,844.58965939
262344.98050890,-4599.62651983,7.75021802,231046.37249511,20683.50968927,97253.90877508,0.02412972,-0.00024641,835.85758125,116752.84071542,0.00521210,-0.00020462,846.14317068
1144063.87424428,-4438.32320234,7.90995902,220098.18269646,6275.35660422,191016.81827025,0.00059954,-0.00044901,895.82378723,197429.87039276,0.00010000,-0.00042862,849.69910916
1512098.00802469,-4417.82693180,7.83223777,224691.72570156,-9786.83250371,211574.55574411,0.00154062,-0.00046199,856.74574600,216036.47692274,0.00010000,-0.00045309,855.00080932
1282722.52019599,-4415.08787021,7.83704414,237973.28904837,881.11727974,200895.70428423,0.00092818,-0.00046810,867.45416313,203921.74766095,0.00010000,-0.00046265,852.08565889
393328.06903960,-4468.14863292,7.85701174,221639.64504760,46150.15583630,114387.80227086,0.01921785,-0.00031049,846.50518548,132986.46209845,0.00360179,-0.00027662,854.56362961
1515610.28004744,-4387.04084801,7.78452520,228544.93275894,426.80638318,215903.85225855,0.00149307,-0.00045243,845.97755484,220388.82535629,0.00010000,-0.00044347,844.31072822
1638725.64180092,-4375.74956439,7.75514006,232320.49450004,-11597.54456710,215419.23201898,0.00152828,-0.00050423,845.94501536,219957.01009036,0.00010000,-0.00049510,843.36674604
1717396.85945802,-4366.45267832,7.74820070,230999.23387686,-16004.50954689,226176.76302189,0.00079350,-0.00047170,836.65392431,228599.51973928,0.00010000,-0.00046494,843.64640786
1474087.80102947,-4362.63109677,7.75571244,244899.85245308,-16267.44472484,214591.81573878,0.00208242,-0.00046395,848.91983108,220258.40128616,0.00010000,-0.00045386,846.40991938
1355203.19108970,-4355.11058239,7.82430577,236861.01539776,1312.73238944,222877.07897317,0.00122327,-0.00043358,807.90065980,211724.83348883,0.00010000,-0.00046881,843.98653065
1700447.56011614,-4337.24463090,7.81938860,226149.86734501,-13226.21894720,225116.71102684,0.00139288,-0.00043739,850.30499900,229340.55280891,0.00010001,-0.00043031,849.32201832
1419645.88806082,-4334.92080140,7.72948027,254732.09046760,-12416.64866917,211756.75808907,0.00227477,-0.00048824,866.15950580,218492.17147870,0.00010000,-0.00047816,842.50641429
1506182.12691703,-4321.64959365,7.77871567,227818.66563321,-5632.31991072,210245.61703741,0.00147898,-0.00047968,767.35451762,214473.34096480,0.00010001,-0.00047175,757.66629562
1363005.22004035,-4316.95525940,7.70970155,240586.42250012,-5850.27792108,203039.04459218,0.00231609,-0.00046678,862.49876524,209733.65958648,0.00010000,-0.00045573,842.99310314
1743337.84093193,-4297.39119648,7.74570894,222957.59209201,-6493.57296013,215121.87558338,0.00232743,-0.00049065,847.99082783,221694.79155597,0.00010000,-0.00048005,837.70003624
1743624.95949208,-4286.78865487,7.78098828,219293.04909440,-10321.28863351,207953.40734406,0.00028197,-0.00054133,817.70940233,210077.89405334,0.00010000,-0.00053319,818.79537609
2096958.42346684,-4271.12617672,7.79094581,210738.65810649,-13111.53353999,218353.37753665,0.00074714,-0.00056505,829.06417513,221802.58221456,0.00010000,-0.00055491,830.53185804
1452060.86868610,-4270.80809400,7.69170899,234157.55738644,2924.66267950,187423.08871315,0.00040045,-0.00057454,931.63677967,210150.97013140,0.00010000,-0.00050517,831.63677986
1686574.44169787,-4259.41799452,7.70358770,232813.11310504,-19826.28579927,222173.35873877,0.00035406,-0.00046254,827.70785621,224233.49376576,0.00010000,-0.00045607,830.03190138
1744629.11535482,-4246.80003830,7.69545475,232962.77324138,-15908.84579742,225353.44004513,0.00010733,-0.00050123,820.77747037,226957.86079176,0.00010000,-0.00049330,828.74287188
2120407.36124552,-4228.82530918,7.73452093,201556.88334884,-12501.72105879,225364.75464362,0.00012325,-0.00049429,819.16731261,226607.54627742,0.00010000,-0.00048820,825.67794697
1279607.36668923,-4237.24372534,7.63332499,262359.71835706,1684.50045286,196052.45253737,0.00044212,-0.00049208,900.62246379,211191.01569677,0.00010032,-0.00045181,827.45322273
1362454.39437980,-4225.61003622,7.61797710,259885.21728351,-7709.39072895,213360.31684062,0.00060301,-0.00052410,799.37563457,210286.30204009,0.00010000,-0.00052590,823.08446652
1536088.59509194,-4210.18367322,7.64557190,234272.09842672,-13095.02730936,214033.75636688,0.00113512,-0.00049040,822.58663977,217685.79137075,0.00010000,-0.00048198,822.27959391
1814529.03962271,-4195.72071117,7.65464551,223283.19700710,-20607.60188867,221197.07610224,0.00115820,-0.00049451,810.41523432,223890.15988733,0.00010000,-0.00048845,817.42839041
1391865.57815701,-4201.09803340,7.61133556,249706.49510430,-12670.63474165,214613.02260450,0.00074847,-0.00046215,835.91707952,217345.95843905,0.00010000,-0.00045770,819.16316060
1742019.15313194,-4175.82572786,7.68150382,226576.84971586,-22423.67521600,216782.90885107,0.00166963,-0.00051776,824.79986447,221490.41867820,0.00010000,-0.00050914,820.03321493
1470499.30235621,-4172.33307544,7.61284926,240639.16218915,-10745.73624838,208053.63817596,0.00187017,-0.00046941,825.69537601,213066.35519422,0.00010000,-0.00045973,822.70748936
1396868.75643503,-4165.49252458,7.58288552,235525.38309935,-17996.04941100,185397.37456885,0.00022148,-0.00055315,915.58976116,205135.37819757,0.00010000,-0.00049453,817.98022272
1307657.30242644,-4154.74357448,7.62792979,242405.69051892,-2105.46939795,194780.97421206,0.00047067,-0.00046319,890.44174405,209519.35103539,0.00010000,-0.00042466,818.73782120
1733575.07856644,-4140.56404542,7.64737802,233617.57402713,-271.30618138,217207.45591935,0.00180453,-0.00050950,824.79932375,222677.45501804,0.00010000,-0.00049948,817.21379008
1845790.24353938,-4124.53985622,7.58730463,228569.54279630,-10670.58422769,226850.17169855,0.00010972,-0.00048799,801.20530571,228241.86727871,0.00010000,-0.00048113,808.14936509
1951221.99191974,-4129.97089218,7.64663030,209082.89169252,-21727.40668854,217376.69621404,0.00021768,-0.00054935,807.50962357,219396.62443006,0.00010000,-0.00054063,812.08818318
1428086.86039151,-4153.56585729,7.52162497,229802.38686192,-20462.34059769,189922.72718425,0.00102527,-0.00053723,904.01054576,209954.75491915,0.00010000,-0.00048364,805.35551133
1371288.79465434,-4167.16739043,7.58817700,231194.80647660,-10133.74487953,185298.71408774,0.00269522,-0.00052539,905.95047973,207467.62490506,0.00010000,-0.00047034,814.47096644
1444114.13723634,-4179.71092468,7.55306358,236650.17339308,-6132.27066431,189603.13880267,0.00245599,-0.00053995,907.81056702,213899.03778797,0.00010000,-0.00047909,807.81057660
1461923.26620044,-4192.07898040,7.57969559,236820.51629554,-12148.06107750,190846.36552745,0.00031405,-0.00057906,915.10904157,214427.94209932,0.00010000,-0.00050993,815.10904217
1353821.62524322,-4209.07825007,7.56850419,245908.85752960,-4105.03465211,208044.86371389,0.00116846,-0.00047893,828.84558869,212074.69048486,0.00010000,-0.00047251,810.23324841
1350568.61448724,-4223.27949558,7.52551237,248874.82820728,-9139.45713570,204756.52643626,0.00078375,-0.00051082,810.71849234,207540.75638746,0.00010000,-0.00050460,797.65079674
1660609.82090073,-4231.54794769,7.57368009,229771.98711899,-20864.98876829,213539.23581994,0.00022704,-0.00053984,807.30213300,215453.40713005,0.00010000,-0.00053154,809.21351571
1709475.06874885,-4241.65304654,7.51927696,222528.13667087,-18263.76054467,219830.35468645,0.00143859,-0.00050048,800.34457374,224348.69790096,0.00010000,-0.00049139,796.18269349
2215521.35135821,-4244.09527160,7.56179909,206656.09109479,-15501.50052304,201929.71770114,0.00638262,-0.00056346,865.92983452,229336.68866995,0.00012224,-0.00051214,799.96090406
1415121.63724575,-4271.72403641,7.47866750,235524.55037893,3765.01644278,207646.61308734,0.00235687,-0.00048485,824.85187877,214685.27305009,0.00010000,-0.00047398,800.88027744
1962764.59125780,-4273.19620777,7.56284875,197472.88735558,-17667.72040294,214664.47682486,0.00042632,-0.00055143,805.28093606,217217.08613214,0.00010000,-0.00054244,806.39718556
1801162.63333501,-4289.29277773,7.54106600,212701.04265390,-13547.86742871,219571.96658409,0.00080556,-0.00047600,777.13584232,221937.05932574,0.00010001,-0.00046942,783.44823912
1633492.53442046,-4309.35241437,7.50168187,224408.80659462,-20077.03656975,215969.03139600,0.00010036,-0.00049555,799.39104800,217378.35419231,0.00010000,-0.00048789,807.27746369
1810356.40916118,-4315.73579563,7.56514585,210679.15445594,-10355.42854851,212663.57310799,0.00225819,-0.00049808,816.46845092,218601.92040282,0.00010000,-0.00048907,805.59477493
1750899.77794950,-4332.56582292,7.51333115,235993.30324773,-17981.68949865,228034.91124490,0.00010726,-0.00049783,790.35553051,229578.24546947,0.00010000,-0.00049030,797.90670916
1348364.29774108,-4355.39862274,7.47999041,253551.93316919,-2013.72321710,212997.76364716,0.00028120,-0.00045539,824.07532155,214337.51841687,0.00010005,-0.00045420,809.19578576
1967546.77801051,-4354.34195989,7.53568981,219279.87170020,-10252.91878917,222298.88181351,0.00164584,-0.00051742,808.24586548,227012.26789682,0.00010000,-0.00050958,800.14753250
1696620.31208356,-4371.36181707,7.50845876,226650.82446713,-10503.41656943,223352.92057997,0.00035082,-0.00046968,794.96850019,225135.64069452,0.00010000,-0.00046277,801.95557707
1744384.21845749,-4384.06406786,7.45500041,229991.14273694,-18125.65803002,217882.33950108,0.00159263,-0.00051262,804.82972640,222615.17076850,0.00010000,-0.00050360,800.28079821
1373331.32248815,-4405.45463000,7.48606721,243234.81016159,1618.56800644,188131.48797244,0.00151657,-0.00056404,892.73030453,208412.33073947,0.00010000,-0.00050949,805.44617284
1114747.00233516,-4426.74018983,7.50318192,226523.63750390,-336.25705747,196818.16913625,0.00025548,-0.00044889,781.74722675,195890.55102250,0.00010000,-0.00044619,803.09490353
338067.76667419,-4572.72129839,7.39711726,249529.79994518,7682.03924641,123953.23066484,0.00024067,-0.00039442,778.77544139,125418.65455708,0.00010000,-0.00037899,789.11276360
1740181.61062220,-4436.77521951,7.59193823,187361.22730383,-11609.80089899,198721.69185158,0.00031017,-0.00056442,799.37369135,200901.09944019,0.00010000,-0.00055506,801.95592600
1974713.60208738,-4445.02194513,7.53087362,198159.61232828,-14554.29582213,216430.43530877,0.00040227,-0.00049762,789.96256414,218607.93397260,0.00010000,-0.00048967,795.24256618
1775167.54323848,-4461.58574228,7.45254788,208447.30406976,-7795.52476816,211079.10934542,0.00272798,-0.00048048,806.27284496,218085.23351134,0.00010000,-0.00047039,793.84836549
1486342.15947249,-4481.03674076,7.45322278,216639.76390196,-9701.21975222,206968.32228417,0.00187865,-0.00049733,795.68899934,212062.45897997,0.00010000,-0.00048771,792.20210084
270366.71415917,-4636.64276998,7.30808455,238787.86992148,10367.64393954,114304.31824965,0.00016845,-0.00029475,786.44627924,115078.73010046,0.00010000,-0.00028197,796.36685227
394553.43206676,-4593.98681900,7.24556145,234364.99522919,12043.49872735,127378.75970283,0.00032314,-0.00043158,778.96016972,128792.03086142,0.00010000,-0.00041862,787.52985491
