E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
0.57241136,0.99990842,0.99997862,0.31328853,0.83611441,0.02046347,0.00404657,0.64361014,0.99996004,0.01651723,0.00000001,0.61674481,0.99998320
0.52624650,0.99991131,0.99998309,0.30798073,0.84251484,0.02125360,0.00229286,0.64566172,0.99994022,0.01587725,0.00000000,0.61622516,0.99998203
0.66031060,0.99991819,0.99998277,0.30090849,0.83722163,0.02146719,0.00263907,0.64540483,0.99996070,0.01719834,0.00000002,0.61756348,0.99998460
0.55127066,0.99991908,0.99997691,0.31978046,0.83751637,0.02019310,0.00443921,0.64196884,0.99996836,0.01638477,0.00000000,0.61590001,0.99998131
0.58487412,0.99992418,0.99998012,0.30201034,0.83998635,0.02004898,0.00281483,0.64254711,0.99992063,0.01608338,0.00000001,0.61612286,0.99994032
0.52927616,0.99992599,0.99997562,0.31044051,0.83990699,0.01936172,0.00452355,0.64341905,0.99996660,0.01572793,0.00000000,0.61667966,0.99998155
0.67696560,0.99993352,0.99997797,0.29880072,0.83967279,0.02051402,0.00454671,0.64180600,0.99995959,0.01662495,0.00000000,0.61583444,0.99997899
0.67707710,0.99993759,0.99998027,0.29638114,0.83827923,0.01983038,0.00037144,0.63838152,0.99994496,0.01575374,0.00000000,0.61398757,0.99996985
0.81428232,0.99994362,0.99998092,0.29073293,0.83726338,0.02082219,0.00132096,0.63677916,0.99995044,0.01663303,0.00000001,0.61323242,0.99997552
0.56385794,0.99994374,0.99997445,0.30619572,0.84310169,0.01787248,0.00061330,0.63613794,1.00000000,0.01575922,0.00000000,0.61496144,0.99997606
0.65492344,0.99994812,0.99997522,0.30530803,0.83481874,0.02118649,0.00051859,0.64370524,0.99994979,0.01681534,0.00000000,0.61666793,0.99997528
0.67746703,0.99995297,0.99997469,0.30540684,0.83624497,0.02148976,0.00001497,0.64109146,0.99994644,0.01701965,0.00000000,0.61537387,0.99997466
0.82338793,0.99995989,0.99997724,0.28467048,0.83748540,0.02149084,0.00004746,0.64155999,0.99994566,0.01699338,0.00000000,0.61555122,0.99997318
0.49689139,0.99995665,0.99997064,0.32481675,0.84265019,0.01869543,0.00069834,0.64170970,0.99998502,0.01583722,0.00000064,0.61681610,0.99997404
0.52906226,0.99996112,0.99996964,0.32318291,0.83923015,0.02034602,0.00102677,0.63954587,0.99993610,0.01576937,0.00000000,0.61424073,0.99997193
0.59648729,0.99996706,0.99997144,0.30627135,0.83726939,0.02041025,0.00211292,0.64182308,0.99994731,0.01632429,0.00000000,0.61576741,0.99997154
0.70461032,0.99997262,0.99997203,0.29901571,0.83453429,0.02109339,0.00216003,0.64154515,0.99994143,0.01678959,0.00000000,0.61554249,0.99996919
0.54048311,0.99997055,0.99996920,0.31646221,0.83742390,0.02046549,0.00132367,0.64373171,0.99995375,0.01629881,0.00000000,0.61661145,0.99997003
0.67645353,0.99998027,0.99997378,0.30119041,0.83387311,0.02067242,0.00320398,0.63997425,0.99994838,0.01660962,0.00000000,0.61482342,0.99997045
0.57101789,0.99998162,0.99996930,0.31047533,0.83812470,0.01983994,0.00361332,0.64324138,0.99994881,0.01597786,0.00000000,0.61654072,0.99997174
