E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
0.70130446,-4749.45204262,6.03933349,231046.37249511,20683.50968927,0.86727283,0.02412972,-0.00024641,603.95552133,0.86441888,0.00521210,-0.00020462,598.02038598
0.93015082,-4749.45204262,6.03933349,220098.18269646,6275.35660422,0.97503401,0.00059954,-0.00044901,603.95552133,0.97225515,0.00010000,-0.00042862,598.02038598
0.97349207,-4749.45204262,6.03933349,224691.72570156,-9786.83250371,0.99135152,0.00154062,-0.00046199,603.95552133,0.99074306,0.00010000,-0.00045309,598.02038598
0.94792763,-4749.45204262,6.03933349,237973.28904837,881.11727974,0.98308364,0.00092818,-0.00046810,603.95552133,0.97889641,0.00010000,-0.00046265,598.02038598
0.76423662,-4749.45204262,6.03933349,221639.64504760,46150.15583630,0.89317711,0.01921785,-0.00031049,603.95552133,0.89114333,0.00360179,-0.00027662,598.02038598
0.97385259,-4749.45204262,6.03933349,228544.93275894,426.80638318,0.99458510,0.00149307,-0.00045243,603.95552133,0.99483751,0.00010000,-0.00044347,598.02038598
0.98598900,-4749.45204262,6.03933349,232320.49450004,-11597.54456710,0.99422637,0.00152828,-0.00050423,603.95552133,0.99443491,0.00010000,-0.00049510,598.02038598
0.99327556,-4749.45204262,6.03933349,230999.23387686,-16004.50954689,1.00000000,0.00079350,-0.00047170,603.95552133,1.00000000,0.00010000,-0.00046494,598.02038598
0.96953592,-4749.45204262,6.03933349,244899.85245308,-16267.44472484,0.99361203,0.00208242,-0.00046395,603.95552133,0.99471599,0.00010000,-0.00045386,598.02038598
0.95646913,-4749.45204262,6.03933349,236861.01539776,1312.73238944,0.99965954,0.00122327,-0.00043358,603.95552133,0.98660474,0.00010000,-0.00046881,598.02038598
0.99173433,-4749.45204262,6.03933349,226149.86734501,-13226.21894720,1.00000000,0.00139288,-0.00043739,603.95552133,1.00000000,0.00010001,-0.00043031,598.02038598
0.96368814,-4749.45204262,6.03933349,245478.01433338,-12416.64866917,0.99148894,0.00227477,-0.00048824,603.95552133,0.99306327,0.00010000,-0.00047816,598.02038598
