Zc,E0Tn,betaTn
-7221.89379668,104181.62000044,0.00010604
-7229.58386898,106889.63290767,0.00844129
-7259.67781245,77570.37082028,0.00010000
-7251.34506382,83562.39925440,0.00010000
-7257.76330527,76595.88743072,0.00732289
-7300.96117684,73150.20528410,0.00010000
-7257.37513146,84883.11916319,0.00010000
-7266.20823567,81573.17199698,0.00011270
-7263.86545008,52929.09694909,0.05148751
-7263.62157307,79760.08980937,0.00010093
-7266.90807168,78678.40494265,0.00012014
-7274.80653928,78385.03700214,0.00020084
-7262.58003198,76193.61226416,0.00010000
-7293.90623585,55157.32429295,0.03475210
-7276.33561708,36025.33907688,0.08795936
-7269.71888565,79292.84058514,0.00011133
-7255.75209838,95580.32767099,0.00010703
-7285.35110127,25175.92874275,0.12394970
-7358.08010867,26249.68426976,0.06259179
-7266.26641226,46793.09781648,0.06775315
-7313.44786372,24082.51382811,0.11528512
-7289.07859706,41516.69866680,0.06330216
-7253.81108728,84901.45654295,0.00264524
-7263.72891589,84678.73701212,0.00013143
-7265.36728968,83761.63074554,0.00012539
-7284.60688911,38563.92542241,0.07592985
-7298.98003727,70487.96637861,0.00017639
-7260.64345543,55618.77566871,0.03514321
-7286.34649840,59657.36415425,0.00010000
-7250.35374495,73369.42256750,0.00590990
-7257.61005519,44263.34399979,0.06844847
-7290.09217928,26663.61352078,0.11157886
-7253.19535609,71323.62867906,0.00010000
-7258.23469483,25375.08150294,0.11950860
-7250.23392326,61525.33439905,0.03802964
-7255.01690447,44953.52616315,0.05992053
-7255.29420848,42643.55418031,0.06652349
-7266.00290037,47992.41977234,0.03786573
-7256.97404299,60626.98698022,0.02385668
-7307.82426041,57257.14005684,0.02220105
-7238.57411113,76549.82792579,0.00309970
-7308.74854643,68118.51850832,0.00012723
-7264.27619470,36663.56492031,0.07489853
-7270.42182298,62892.04193523,0.00010000
-7240.43107593,34448.68097556,0.09506289
-7250.29931297,32598.38322153,0.08358056
-7244.28607382,67294.00005701,0.00010000
-7268.14911983,35100.54985847,0.06390411
-7236.33896127,35515.77543314,0.08661023
-7241.77383256,45687.16568654,0.04842383
-7229.65441847,41432.92353640,0.06884081
-7235.97939653,71605.94705848,0.00010885
-7229.93467405,53773.73194115,0.05055574
-7237.50403106,64083.02795608,0.00010000
-7232.69905173,43544.70894499,0.06039862
-7225.15520817,75964.56384010,0.01152431
-7238.13081693,33641.71826451,0.09236384
-7252.08678325,47265.52065312,0.04246207
-7237.66005531,58821.59885403,0.01564909
-7232.13920295,32523.31514067,0.09463346
-7217.62969445,51928.62925280,0.04862226
-7280.34198142,56298.02479214,0.00010001
-7233.70523717,57245.61142172,0.03037335
-7222.15043351,45295.00898283,0.05505127
-7199.42825088,65734.03260688,0.03705549
-7219.48891931,29118.44057966,0.11494799
-7236.90679939,69727.83507432,0.00018800
-7276.52410674,34057.61889077,0.06455131
-7213.14203603,74536.51124214,0.00010000
-7223.97464155,40477.59376471,0.06023395
-7216.06458230,26462.66544791,0.11900798
-7198.01287899,79665.31156014,0.00010000
-7189.60469571,85505.30785446,0.00630083
-7218.28303961,73377.67787823,0.00012568
-7213.91544488,67972.94184974,0.01535419
-7199.77586803,62430.09928566,0.02873581
-7203.00753356,68723.39894776,0.01448842
-7190.40740137,40832.87446908,0.08018157
-7218.95279045,27163.46823210,0.10314431
-7203.94164553,75773.02345369,0.00011797
-7194.46016720,70088.62800977,0.02874780
-7212.63082994,83058.30029754,0.00010002
-7209.43604994,64699.47995805,0.02073499
-7207.80645474,72605.04476819,0.00010000
-7213.73816236,45091.77600050,0.06333505
-7213.01226923,68085.05166637,0.00974919
-7217.80172789,58108.60596964,0.02658536
-7213.68155052,58265.59222033,0.03329142
-7234.05671368,65012.76669248,0.00012916
-7245.44563494,35148.06372673,0.06535987
-7210.61571522,52096.30455372,0.05635661
-7219.47781204,29412.86249521,0.10924523
-7207.45684275,37550.32437346,0.08851199
-7231.10886963,38505.93908215,0.06343601
-7212.82060933,63028.63819942,0.01902893
-7223.59523104,73017.11805224,0.00103318
-7249.03761749,36093.06715719,0.07097108
-7250.01022973,34999.09304798,0.07548626
-7256.99235139,42176.71210682,0.03938136
-7223.93681560,50107.85518489,0.04827266
-7244.91560629,39546.04535506,0.05973719
-7217.16909462,56039.50138146,0.03436643
-7233.91366404,74232.31245046,0.00010059
-7235.57780768,72135.44388722,0.00010019
-7263.70916624,25683.03502279,0.09630952
-7244.23958846,67129.46202773,0.00016662
-7216.07031501,64435.64064549,0.03108427
-7228.52306796,68673.81164492,0.01520391
-7247.41870498,52470.89942157,0.02894401
-7235.78075391,72618.95852799,0.00019298
-7240.30128115,27456.41450293,0.10306108
-7248.45209192,45988.55896116,0.04646472
-7318.44176040,42177.27833010,0.00010000
-7242.42609003,66352.78034748,0.00010007
-7283.22466881,28972.10837635,0.06869751
-7239.80429781,47854.78010483,0.05331073
-7235.21593563,71365.64602250,0.01145675
-7261.84397741,46052.68600865,0.03113737
-7240.52585673,55347.29167162,0.03010450
-7273.78077645,26426.43168204,0.10224282
-7290.48412638,20576.54502032,0.10488554
-7326.33073317,34732.52837976,0.00010000
-7255.98103736,34502.79132979,0.07740088
-7282.64997176,43364.13736522,0.04582655
-7261.31721607,40508.30272835,0.05379551
-7272.05889305,38715.64658060,0.05814669
-7289.98730806,47630.77247168,0.02364172
-7659.04945791,11340.74347989,0.02366988
-7330.96303230,17272.40193575,0.12562554
-7272.64615301,22726.40065448,0.12216867
-7288.55487888,62270.49583689,0.00010000
-7254.61372926,68800.21342498,0.00015966
-7275.35714723,36559.33699742,0.07292462
-7274.49834467,40871.73870994,0.04782814
-7271.23872050,67909.97297977,0.00010808
-7267.04361871,69791.57293219,0.00010463
-7357.49491069,38209.83929939,0.00012082
-7294.77169773,55553.12848248,0.00934237
-7269.00267972,37857.88620042,0.05950129
-7276.05596637,41409.81616372,0.04638525
-7270.44976989,32573.41703486,0.07054793
-7266.21735485,48269.37596988,0.04123180
-7296.81870044,62548.25694335,0.00011544
-7280.33004210,33658.49041566,0.07317311
-7248.57140514,70197.28380490,0.00010000
-7244.86584498,40863.54129524,0.05841637
-7265.77082840,60835.93492086,0.00010578
-7250.95697191,23568.01560102,0.11433797
-7298.37926881,20065.19902627,0.11343278
-7253.23922876,58221.44897619,0.00010000
-7273.29011172,62578.61365644,0.00546748
-7259.19735512,59152.79049146,0.01277953
-7262.94702116,61978.03213018,0.00905310
-7241.74600471,53422.21794468,0.03007763
-7275.38749515,44759.63028476,0.03260913
-7310.69114398,55375.73522031,0.00050426
-7251.49172185,61107.98995577,0.00010000
-7262.52529073,27889.65400550,0.09941758
-7269.03708610,23742.74791738,0.10065949
-7251.49798034,57520.62801081,0.00915284
-7318.56705351,18156.98171439,0.11034692
-7265.86191141,63998.57146599,0.00010000
-7256.06636633,62713.85401389,0.01085529
-7251.47786747,60652.80251802,0.00010002
-7245.65182173,37836.90546972,0.07422753
-7283.29143524,44606.83676309,0.03278655
-7343.12024145,38637.64466334,0.00020059
-7240.72598188,65325.89886787,0.00010000
-7237.52346243,72563.02269703,0.00013476
