E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
0.98286050,1.00000000,1.00000000,0.51983714,0.00000000,0.98915965,0.00789117,0.88463744,1.00000000,0.99004105,0.00000000,0.41032518,1.00000000
0.95527604,1.00000000,1.00000000,0.57695755,0.01998490,0.99031284,0.00283431,0.91217252,1.00000000,0.98820047,0.00000000,0.44977598,1.00000000
0.60715850,0.97214629,1.00000000,0.64127797,0.27055520,0.85009920,0.00021437,0.98406838,1.00000000,0.83139732,0.00000001,0.56551144,1.00000000
0.98209134,1.00000000,1.00000000,0.54716947,0.00000000,0.99037758,0.00182915,0.87738318,1.00000000,0.98795313,0.00000001,0.39719785,1.00000000
0.92129774,1.00000000,1.00000000,0.44562025,0.03529903,0.96880319,0.00670824,0.88991604,1.00000000,0.96632599,0.00000001,0.41705164,1.00000000
0.46034400,0.97882548,1.00000000,0.33686571,0.17631572,0.57786146,0.49000775,1.00000000,1.00000000,0.59558507,0.51357983,0.72271206,1.00000000
0.95271461,1.00000000,1.00000000,0.64773799,0.00772054,0.99303260,0.00019669,0.90878306,1.00000000,0.99004252,0.00000000,0.44446292,1.00000000
0.98403502,1.00000000,1.00000000,0.59244778,0.00000000,0.99604705,0.00124249,0.89254161,1.00000000,0.99377672,0.00000001,0.41948868,1.00000000
0.63637464,0.98811025,1.00000000,0.52320985,0.18392405,0.82947639,0.08740464,0.96587718,1.00000000,0.84626647,0.01668878,0.56373267,1.00000000
0.56805485,0.97539664,1.00000000,0.42553205,0.18012848,0.81603182,0.00000438,0.95530405,1.00000000,0.79396894,0.00000000,0.52757178,1.00000000
0.43747045,0.96678612,1.00000000,0.23573168,0.07902480,0.65029419,0.20501045,0.97884426,1.00000000,0.70100911,0.02468324,0.65191839,1.00000000
0.42146412,0.93990954,1.00000000,0.31026642,0.10187702,0.70404603,0.00000000,0.94101131,1.00000000,0.66867245,0.00000000,0.52538444,1.00000000
0.34990395,0.89013573,1.00000000,0.28034010,0.30115396,0.58745167,0.16319954,0.93010955,1.00000000,0.61956643,0.00000381,0.62638523,1.00000000
0.15070202,0.82917560,1.00000000,0.50532150,0.58613136,0.32903189,0.43164376,0.78222775,1.00000000,0.46233164,0.00008218,0.96813627,1.00000000
0.12439721,0.80299345,1.00000000,1.00000000,0.95894901,0.28973082,0.44993789,0.77924192,1.00000000,0.37729916,0.05891437,0.86788537,1.00000000
1.00000000,1.00000000,1.00000000,0.38612869,0.00747937,0.99068229,0.00874064,0.88775546,1.00000000,0.99684134,0.00000001,0.42119946,1.00000000
0.25190923,0.89564906,1.00000000,0.26455691,0.59923882,0.39713726,0.38086452,0.62225990,1.00000000,0.53680772,0.00033522,0.64861519,1.00000000
0.27523178,0.89371944,1.00000000,0.09188495,0.48092949,0.34088574,0.57063141,0.55371921,1.00000000,0.43530096,0.36228358,0.52017117,1.00000000
0.89818516,1.00000000,1.00000000,0.31613895,0.02632767,0.95304326,0.00701777,0.88158889,1.00000000,0.96122202,0.00015421,0.42623782,1.00000000
0.99282483,1.00000000,1.00000000,0.66421385,0.00769312,1.00000000,0.00095099,0.88341698,1.00000000,0.99881331,0.00000001,0.40551021,1.00000000
0.99229243,1.00000000,1.00000000,0.71109620,0.02531660,1.00000000,0.00167685,0.88265068,1.00000000,0.99856842,0.00000001,0.40462751,1.00000000
0.98259976,1.00000000,1.00000000,0.74210030,0.01444082,0.99187179,0.02005421,0.89000620,1.00000000,0.99974153,0.00000001,0.41981599,1.00000000
1.00000000,1.00000000,1.00000000,0.64637975,0.00000000,0.99789995,0.00816683,0.87659613,1.00000000,0.99990717,0.00005783,0.39630166,1.00000000
0.99935470,1.00000000,1.00000000,0.65414055,0.01020226,1.00000000,0.00581808,0.88549834,1.00000000,1.00000000,0.00000000,0.41029586,1.00000000
0.99816020,1.00000000,1.00000000,0.66651563,0.00000000,1.00000000,0.00690610,0.89249509,1.00000000,1.00000000,0.00001883,0.42082478,1.00000000
1.00000000,1.00000000,1.00000000,0.55123958,0.01609813,0.99873429,0.00957548,0.87621500,1.00000000,1.00000000,0.00000025,0.39633032,1.00000000
0.99963331,1.00000000,1.00000000,0.68473188,0.01192971,1.00000000,0.00582261,0.88047391,1.00000000,1.00000000,0.00000000,0.40256922,1.00000000
0.98507519,1.00000000,1.00000000,0.69734286,0.03772104,0.99610504,0.00671570,0.88387702,1.00000000,0.99729505,0.00000001,0.40928492,1.00000000
0.37093874,0.95843484,1.00000000,0.24656991,0.11136602,0.58478776,0.17598915,0.84869803,1.00000000,0.61514099,0.00146841,0.48395306,1.00000000
0.45310506,0.91201925,1.00000000,0.00000000,0.00944442,0.46110579,0.49398589,0.61443841,1.00000000,0.61016474,0.22189895,0.44361543,1.00000000
0.28163350,0.87262955,1.00000000,0.20733000,0.34367348,0.46365489,0.30892277,0.80238950,1.00000000,0.56263127,0.00000218,0.68236164,1.00000000
0.18193304,0.83977001,1.00000000,0.32976674,0.41397027,0.26975915,0.54696940,0.36774531,1.00000000,0.43270020,0.11840893,0.72916395,1.00000000
0.99616664,1.00000000,1.00000000,0.44276716,0.04543241,0.99213026,0.00430530,0.87057442,1.00000000,0.99016138,0.00000000,0.37994019,1.00000000
0.13675958,0.78491634,1.00000000,0.76872593,0.94602626,0.28185564,0.45057335,0.66325597,1.00000000,0.36891906,0.04285486,0.68383935,1.00000000
0.29469315,0.83633263,1.00000000,0.29581662,0.38480645,0.56947118,0.05501028,0.85304526,1.00000000,0.54608878,0.00000000,0.48357674,1.00000000
0.27564072,0.85850344,1.00000000,0.13087668,0.43104574,0.55684174,0.08443607,0.93654785,1.00000000,0.54291594,0.00000002,0.59920703,1.00000000
0.27994740,0.89179007,1.00000000,0.57152267,0.46199796,0.49151165,0.25969550,0.92940590,1.00000000,0.53862176,0.00085046,0.64145160,1.00000000
0.44394154,0.90153595,1.00000000,0.40142024,0.33719606,0.70906942,0.00254423,0.87711466,1.00000000,0.67414772,0.00000001,0.42815927,1.00000000
0.45960211,0.93146196,1.00000000,0.24880256,0.12884292,0.71266767,0.00000049,0.89295357,1.00000000,0.67855083,0.00000000,0.44816333,1.00000000
0.43665011,0.95632030,1.00000000,0.58254386,0.35509250,0.72311305,0.01084327,0.97744471,1.00000000,0.70240726,0.00000000,0.59730518,1.00000000
0.91241572,1.00000000,1.00000000,0.00000000,0.03308679,0.95807683,0.00212488,0.78680854,1.00000000,0.95230263,0.00000000,0.26049089,1.00000000
0.52810203,0.97198200,1.00000000,0.36384291,0.08272608,0.77258878,0.00007017,0.94109722,1.00000000,0.74588843,0.00000000,0.51191860,1.00000000
0.96126619,1.00000000,1.00000000,0.46481180,0.02319009,0.97901724,0.00223105,0.86197759,1.00000000,0.97563952,0.00000000,0.37451067,1.00000000
0.97950291,1.00000000,1.00000000,0.55698088,0.00751073,0.99394577,0.00621542,0.89793825,1.00000000,0.99401851,0.00000000,0.42885690,1.00000000
0.97770926,1.00000000,1.00000000,0.54196899,0.00415470,0.98944449,0.00087733,0.87279143,1.00000000,0.98634913,0.00000001,0.38985884,1.00000000
0.61047386,0.97853480,1.00000000,0.50297605,0.18113867,0.85206260,0.00028889,0.98140755,1.00000000,0.83420082,0.00000000,0.56345614,1.00000000
0.80563438,1.00000000,1.00000000,0.59499362,0.13154261,0.94378690,0.00005050,0.92104160,1.00000000,0.93509216,0.00000001,0.46415493,1.00000000
1.00000000,1.00000000,1.00000000,0.58025737,0.00369914,0.99643843,0.00531912,0.88186192,1.00000000,0.99662954,0.00000000,0.40467514,1.00000000
0.97368220,1.00000000,1.00000000,0.67762352,0.01894832,0.98656546,0.02072208,0.89305046,1.00000000,0.99170283,0.00010169,0.41961784,1.00000000
0.97498685,1.00000000,1.00000000,0.59808876,0.00595410,0.98833742,0.00395995,0.87707940,1.00000000,0.98699125,0.00000001,0.39779789,1.00000000
0.93318730,1.00000000,1.00000000,0.55295986,0.04085863,0.97713597,0.00436219,0.89929130,1.00000000,0.97426550,0.00000001,0.43064734,1.00000000
0.93818231,1.00000000,1.00000000,0.66496238,0.01338880,0.98472560,0.00352445,0.89950585,1.00000000,0.98250839,0.00000000,0.43129213,1.00000000
0.95450766,1.00000000,1.00000000,0.74549869,0.02266872,0.98919806,0.00476518,0.89092318,1.00000000,0.98825529,0.00000000,0.41822274,1.00000000
1.00000000,1.00000000,1.00000000,0.57160582,0.00205521,0.99606711,0.01186043,0.89433147,1.00000000,0.99960955,0.00000012,0.42506528,1.00000000
0.97560609,1.00000000,1.00000000,0.31160277,0.01907674,0.97849481,0.00517009,0.88241293,1.00000000,0.97618090,0.00000002,0.40475453,1.00000000
0.97208989,1.00000000,1.00000000,0.31015148,0.04154265,0.97559324,0.00028768,0.88319828,1.00000000,0.97053601,0.00000000,0.40547769,1.00000000
0.88311307,1.00000000,1.00000000,0.34225234,0.06390593,0.95033981,0.00398322,0.88396848,1.00000000,0.94369461,0.00000001,0.40646505,1.00000000
0.98863698,1.00000000,1.00000000,0.61802104,0.01402002,0.99507081,0.00136653,0.88241779,1.00000000,0.99280456,0.00000001,0.40422773,1.00000000
1.00000000,1.00000000,1.00000000,0.64897779,0.04493352,0.99833764,0.00885525,0.89026664,1.00000000,1.00000000,0.00000001,0.41771651,1.00000000
0.91402031,1.00000000,1.00000000,0.78336423,0.03473294,0.98168904,0.00357655,0.91057253,1.00000000,0.97916067,0.00000000,0.44849307,1.00000000
1.00000000,1.00000000,1.00000000,0.64746937,0.02279762,0.99679399,0.00607125,0.88124522,1.00000000,0.99747392,0.00000002,0.40406770,1.00000000
0.99762822,1.00000000,1.00000000,0.61561417,0.03105837,0.99922482,0.00757777,0.89477161,1.00000000,1.00000000,0.00000037,0.42491273,1.00000000
1.00000000,1.00000000,1.00000000,0.61663814,0.00787722,0.99729762,0.00344482,0.87354429,1.00000000,0.99661987,0.00000001,0.39159314,1.00000000
0.99685814,1.00000000,1.00000000,0.62921216,0.01244550,0.99650407,0.00798842,0.89016040,1.00000000,0.99808673,0.00000001,0.41803147,1.00000000
0.94015574,1.00000000,1.00000000,0.45585042,0.02334474,0.97667709,0.00332440,0.88855890,1.00000000,0.97355515,0.00000000,0.41473268,1.00000000
0.98655773,1.00000000,1.00000000,0.69563563,0.02009442,0.99998189,0.00289922,0.89975219,1.00000000,0.99906636,0.00000001,0.43082328,1.00000000
0.97615808,1.00000000,1.00000000,0.57318055,0.03620330,0.98143501,0.01627947,0.88321507,1.00000000,0.99216532,0.00003447,0.42246722,1.00000000
1.00000000,1.00000000,1.00000000,0.53121006,0.00000000,1.00000000,0.00000260,0.87780000,1.00000000,1.00000000,0.00000000,0.39691770,1.00000000
1.00000000,1.00000000,1.00000000,0.49607404,0.01466874,0.99612537,0.00714499,0.87582269,1.00000000,1.00000000,0.00001839,0.40234393,1.00000000
0.99962678,1.00000000,1.00000000,0.61861881,0.01896321,0.99871729,0.00805994,0.88814884,1.00000000,1.00000000,0.00000001,0.41503111,1.00000000
0.99419424,1.00000000,1.00000000,0.63859079,0.00000000,0.99951147,0.00526039,0.89592004,1.00000000,0.99982511,0.00000000,0.42564590,1.00000000
1.00000000,1.00000000,1.00000000,0.60460503,0.00481014,0.99796622,0.00529078,0.87561454,1.00000000,0.99840735,0.00000000,0.39536688,1.00000000
0.98570935,1.00000000,1.00000000,0.55409458,0.01975963,0.98619568,0.00746132,0.86896803,1.00000000,0.98593097,0.00000001,0.38468330,1.00000000
0.99668480,1.00000000,1.00000000,0.63447972,0.03089233,1.00000000,0.00112606,0.88250562,1.00000000,0.99880768,0.00000000,0.40444987,1.00000000
0.99172021,1.00000000,1.00000000,0.65969977,0.02690907,1.00000000,0.00386280,0.89818382,1.00000000,1.00000000,0.00000001,0.42853809,1.00000000
0.99890233,1.00000000,1.00000000,0.63282526,0.00000000,0.99758758,0.00969882,0.89493532,1.00000000,0.99996289,0.00003504,0.42539869,1.00000000
0.95807446,1.00000000,1.00000000,0.75301229,0.02675834,0.99301313,0.00098484,0.88531769,1.00000000,0.98937197,0.00000000,0.40845774,1.00000000
0.98493612,1.00000000,1.00000000,0.63436644,0.03056055,0.99595819,0.00144803,0.89019131,1.00000000,0.99380405,0.00000002,0.41597886,1.00000000
0.99091047,1.00000000,1.00000000,0.57994347,0.01220819,0.99657455,0.00257934,0.88287538,1.00000000,0.99512870,0.00000000,0.40511320,1.00000000
1.00000000,1.00000000,1.00000000,0.55624057,0.01044448,0.99541998,0.00615249,0.87860335,1.00000000,0.99587393,0.00000001,0.39973241,1.00000000
