Zc,E0Tn,betaTn
-5331.63431239,11340.91955920,0.00010000
-5129.68158712,11096.01578897,0.00010000
-4826.47531987,10772.96008895,0.00032032
-4737.70058811,27372.74446430,0.00010000
-4465.10608776,28214.72773050,0.00010000
-4238.67275026,33247.91828902,0.00010000
-3813.80212598,185571.09607118,0.00010000
-4096.01116092,44843.17961583,0.00010000
-3801.45077175,217894.58614244,0.00010000
-3792.24351743,247267.57182738,0.00010000
-3792.05698215,234557.45372287,0.00010000
-4036.32198637,82336.89384216,0.00010000
-3840.79660922,164847.14691859,0.00010000
-3770.15226640,251750.02709277,0.00010000
-3777.54337398,243358.97232608,0.00012634
-3774.07346216,235596.07538184,0.00010000
-3784.43262753,215844.27367684,0.00010000
-3782.98180616,228440.03854093,0.00010000
-3776.80468175,237654.09539069,0.00010000
-3759.28540107,256965.30386821,0.00010003
-3764.37158983,218707.75994130,0.00010000
-3760.59490629,210375.88200165,0.00010000
-3786.95286262,174899.09597017,0.00010000
-3756.21575026,245210.79154842,0.00010000
-3749.93946833,259601.45465939,0.00010000
-3777.31203625,223238.16657213,0.00010000
-3748.29882449,253216.92625769,0.00010000
-3746.50231405,259184.27000754,0.00010010
-3744.49060789,251733.27644706,0.00010000
-3744.14944918,254286.87055381,0.00010000
-3756.93878005,214791.87065462,0.00010000
-3742.44891150,256006.68773503,0.00010000
-3744.53904132,244134.62349932,0.00010893
-3731.41554241,259669.06982731,0.00010000
-3731.18557365,258704.41330429,0.00010476
-3733.56338812,258675.66774554,0.00010000
-3733.90368361,257346.72434012,0.00010000
-3729.00197585,254848.46629753,0.00010000
-3732.53354399,233883.56001071,0.00010000
-3727.96860044,255551.42911750,0.00010000
-3727.52902191,258805.02181605,0.00010000
-3725.03517466,257590.80099653,0.00010908
-3736.56789072,239487.14708262,0.00010000
-3723.20307528,246902.95943417,0.00010000
-3721.26409464,249163.64311175,0.00010000
-3716.87717847,250444.55616271,0.00010000
-3717.92281936,250122.99764063,0.00010000
-3721.39120362,238620.68404741,0.00010000
-3710.19288034,254227.11353233,0.00010000
-3768.48844065,194436.11574051,0.00010000
-3761.04804211,194287.41212825,0.00010000
-3705.23479664,262242.45443293,0.00010970
-3705.36793992,253131.79282768,0.00010000
-3700.80439501,250331.34182569,0.00010000
-3704.03973422,265087.92403381,0.00010006
-3707.82705130,253785.85336276,0.00010311
-3710.34953610,259575.72328078,0.00010000
-3716.35639593,246981.21817603,0.00010350
-3844.47593704,78580.89372666,0.04058985
-3721.16523477,250173.65062863,0.00010000
-3732.15073461,219510.83018076,0.00010000
-3722.61543921,244035.67977858,0.00010000
-3730.70089856,255074.83590482,0.00010000
-3734.20493045,253333.71893172,0.00010000
-3734.78029800,251622.59151141,0.00010000
-3738.31897783,248793.11744839,0.00010000
-3737.93201612,256612.91635925,0.00012507
-3746.63693120,249009.95607093,0.00010000
-3749.87990436,257528.13899933,0.00010000
-3767.06170307,232199.07326131,0.00010000
-3753.06116375,248036.09174482,0.00010000
-3763.73085454,245577.47077805,0.00010000
-3760.64275951,251534.69602350,0.00010000
-3757.33769141,260363.88986243,0.00010000
-3765.39541137,246594.96037843,0.00010000
-3766.05315393,251277.79029986,0.00010000
-3770.02824376,250955.32448704,0.00010864
-3771.48752890,256727.96420689,0.00010000
-3780.88675513,236208.57547215,0.00010000
-4175.04419364,33279.19358021,0.00010000
-3805.54331891,139266.04894218,0.00010000
-3794.15411606,216481.10969507,0.00010000
-4057.95737167,48033.96720464,0.00010000
-3813.57555180,160882.92031273,0.00010000
-3950.72997852,132748.36768418,0.00010000
-3953.64702050,130115.14172144,0.00010000
-4176.30048621,38194.97279305,0.00012238
-4071.29576476,21471.41467637,0.09300985
-3985.98256443,86044.62363917,0.00010000
-3950.07286489,104411.86309399,0.00010000
-3813.04440318,230040.76108430,0.00010164
-3823.03540615,241430.71968143,0.00010001
-3816.30547644,243780.44001575,0.00010000
-3839.21561398,217297.33660437,0.00010000
-3821.97701710,254651.85085497,0.00010000
-3825.89781822,256596.87337152,0.00010000
-3823.10103569,258612.86079087,0.00010000
-3830.47570324,248074.04224555,0.00010003
-3853.38271558,226499.11117656,0.00010000
-4217.51802910,35336.45235476,0.00010000
-4439.36628951,40687.57502294,0.00010000
-3866.62316371,200382.17568298,0.00010000
-4357.56845063,25097.54570741,0.00012444
-4662.36688798,46607.47808879,0.00010000
-5036.62886015,8765.03527930,0.02291548
-5145.26296372,18672.53901085,0.00010000
-5244.02170776,16146.80192780,0.00018368
-5555.44658847,7245.91113204,0.00010000
-5723.07701497,3502.68520302,0.04039821
-5227.23428963,855.69877898,0.20173276
-5206.44121227,6018.66715656,0.03182984
-4938.61944377,12081.59214104,0.04401830
-4590.41226635,12592.75620322,0.00029925
-4344.67323413,11175.60858232,0.10911671
-3882.62678902,259857.55578413,0.00010000
-3882.73707406,255556.42920799,0.00010294
-3890.53560554,250917.42064928,0.00010000
-3891.91881380,258822.09028001,0.00010003
-3894.55741768,251915.37778659,0.00010000
-3890.47916457,254101.40690170,0.00010000
-3884.18526275,260247.09768386,0.00010000
-3888.19115988,253680.88348160,0.00010000
-3887.09830595,254023.28673240,0.00010000
-3892.22454182,227240.40529128,0.00010000
-5033.53692930,13692.01204741,0.01442241
-5107.45268215,16733.78477446,0.00010000
-5155.76960487,5859.64703624,0.03886397
-5372.36376772,1462.69427552,0.17053056
-5663.83178682,4317.35877471,0.02296324
-5472.99579738,9177.60224814,0.00026512
-5207.34378127,7165.53755907,0.06765679
-4863.81788944,17499.69685983,0.04144767
-4364.64114267,27621.13620396,0.00010000
-3879.55166420,241443.39529679,0.00010000
-3881.76972505,218288.92101985,0.00010001
-4512.90157336,29225.97941348,0.00010000
-4338.04840818,13146.44183818,0.05027254
-3857.76624040,261325.91584526,0.00010924
-3858.94963514,254921.08732922,0.00010001
-3870.78597155,236943.94837046,0.00010000
-3855.36297491,256976.24181671,0.00010000
-3860.76926887,232213.72551151,0.00010000
-3856.42639136,237386.67241713,0.00010000
-3844.89176858,249349.77074673,0.00011374
-4062.69909877,94621.38644756,0.00011940
-3998.82257511,134064.59534194,0.00010000
-3992.51501708,139132.97773863,0.00010000
-4001.49555250,125839.99607671,0.00010000
-4157.25874781,52831.13603842,0.00010000
-4231.87477244,36295.91675533,0.00010001
-3996.99271798,117715.05729196,0.00010000
-4084.70547662,70138.18072415,0.00676934
-4409.90241047,29603.07052171,0.00010000
-4442.22476844,22327.91894429,0.00010000
-4477.76422924,14167.04916147,0.00020077
-4107.78848605,67991.48478814,0.00010000
-4398.74894892,18974.50793503,0.03504616
-4182.72077055,41330.12414270,0.00010000
-3821.98233958,221448.55050140,0.00010363
-3829.20273018,227238.34003208,0.00010000
-3826.47987034,244431.80778773,0.00010000
-3816.94094011,253505.62940045,0.00010321
-3812.59691513,258639.43609264,0.00010000
-3816.51441217,235845.43317433,0.00010000
-3800.79456051,267940.40481074,0.00010000
-3887.49730646,167472.88089837,0.00010000
-3805.95574463,254645.86496410,0.00010000
-3804.44171634,254040.81776920,0.00010000
-3803.96385084,252784.75658617,0.00010000
-3803.06382583,254331.09655155,0.00010000
-3801.31666239,254010.42717247,0.00013164
-3796.64239412,246201.20934126,0.00010000
-3809.91117687,235783.40129632,0.00010000
-3792.22070494,251598.74839562,0.00010000
-3791.81717742,251277.50140820,0.00010000
-3787.15695102,249475.55523349,0.00010000
-3787.72873436,253730.58787998,0.00010000
-3785.96451454,247241.11226263,0.00010000
-3781.77509389,257425.34361556,0.00010003
-3781.60195109,254039.96884208,0.00010002
-3781.32760104,257127.66446246,0.00010000
-3782.07664219,257580.79730313,0.00010000
-3780.02956577,259491.45779354,0.00011450
-3787.15511035,254485.80035216,0.00010000
-3784.33433578,262761.78143279,0.00010952
-3841.29098369,188255.64601074,0.00010000
-3790.12127784,262971.93905412,0.00010000
-3809.95877583,237181.56895464,0.00010000
-3796.47637282,258784.49612131,0.00010000
-3807.51603111,258368.26097977,0.00010000
-3808.04541112,254257.67998231,0.00010000
-3821.87863583,244589.08353657,0.00010000
-3826.15093265,240073.18398308,0.00010000
-3822.26696095,256728.71416410,0.00010000
-3824.95820594,255212.90128495,0.00010000
