E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
0.96953592,1.00000000,1.00000000,0.99595240,0.01446179,0.99361203,0.00683627,0.90494061,1.00000000,0.99471599,0.00000003,0.26788318,1.00000000
0.95646913,1.00000000,1.00000000,0.93967412,0.19602657,0.99965954,0.00387355,0.91819618,1.00000000,0.98660474,0.00000001,0.25000077,1.00000000
0.99173433,1.00000000,1.00000000,0.86468753,0.04587100,1.00000000,0.00445843,0.91653636,1.00000000,1.00000000,0.00000005,0.29605550,1.00000000
0.96368814,1.00000000,1.00000000,1.00000000,0.05423209,0.99148894,0.00749959,0.89433589,1.00000000,0.99306327,0.00000001,0.23881163,1.00000000
0.97288291,1.00000000,1.00000000,0.87637045,0.12429937,0.99034565,0.00475536,0.89807216,1.00000000,0.98925238,0.00000004,0.24648050,1.00000000
0.95736118,1.00000000,1.00000000,0.96575495,0.12204834,0.98477778,0.00764208,0.90370593,1.00000000,0.98466509,0.00000001,0.26564100,1.00000000
0.99560522,1.00000000,1.00000000,0.84233905,0.11540451,0.99400586,0.00768121,0.89328378,1.00000000,0.99605033,0.00000002,0.23655526,1.00000000
0.99563081,1.00000000,1.00000000,0.81668433,0.07587257,0.98859564,0.00062749,0.87115766,1.00000000,0.98500173,0.00000001,0.17299981,1.00000000
1.00000000,1.00000000,1.00000000,0.75679676,0.04705545,0.99638606,0.00223162,0.86080457,1.00000000,0.99615011,0.00000002,0.14701333,1.00000000
0.96719638,1.00000000,1.00000000,0.92074776,0.21267429,0.97200203,0.00103609,0.85666154,1.00000000,0.98507312,0.00000000,0.20651321,1.00000000
0.99046135,1.00000000,1.00000000,0.91133557,0.00000000,0.99915469,0.00087609,0.90555508,1.00000000,0.99838765,0.00000001,0.26523747,1.00000000
0.99572027,1.00000000,1.00000000,0.91238331,0.01816533,1.00000000,0.00002528,0.88866700,1.00000000,1.00000000,0.00000001,0.22070590,1.00000000
1.00000000,1.00000000,1.00000000,0.69251700,0.05335348,1.00000000,0.00008016,0.89169429,1.00000000,1.00000000,0.00000000,0.22680888,1.00000000
0.94754979,1.00000000,1.00000000,1.00000000,0.19986612,0.97918790,0.00117977,0.89266153,1.00000000,0.98608653,0.00000218,0.27033635,1.00000000
0.95729837,1.00000000,1.00000000,1.00000000,0.10284777,0.99269327,0.00173461,0.87868069,1.00000000,0.98520527,0.00000001,0.18171186,1.00000000
0.97593816,1.00000000,1.00000000,0.92154964,0.04722592,0.99319634,0.00356956,0.89339410,1.00000000,0.99230427,0.00000000,0.23424846,1.00000000
1.00000000,1.00000000,1.00000000,0.84461855,0.00000000,0.99845166,0.00364915,0.89159838,1.00000000,0.99807310,0.00000001,0.22650842,1.00000000
0.96061716,1.00000000,1.00000000,1.00000000,0.05160897,0.99362781,0.00223619,0.90572608,1.00000000,0.99198356,0.00000000,0.26329395,1.00000000
0.99548763,1.00000000,1.00000000,0.86767675,0.00000000,0.99523375,0.00541279,0.88144855,1.00000000,0.99586100,0.00000001,0.20176343,1.00000000
0.96915717,1.00000000,1.00000000,0.96612417,0.07148896,0.98867256,0.00610434,0.90255797,1.00000000,0.98790130,0.00000000,0.26086000,1.00000000
0.96117474,1.00000000,1.00000000,0.93032363,0.00000000,0.97026723,0.00041889,0.86599757,1.00000000,0.98011447,0.00000000,0.21923896,1.00000000
0.95091935,1.00000000,1.00000000,0.97849128,0.16072402,0.97814922,0.00127821,0.90527149,1.00000000,0.98445523,0.00000001,0.30280651,1.00000000
0.99473256,1.00000000,1.00000000,0.91696744,0.17966692,0.99554608,0.00587800,0.88505457,1.00000000,0.99695820,0.00000000,0.21331928,1.00000000
1.00000000,1.00000000,1.00000000,0.88162719,0.07226512,1.00000000,0.00003350,0.89444700,1.00000000,1.00000000,0.00000002,0.23526441,1.00000000
1.00000000,1.00000000,1.00000000,0.74520507,0.00000000,0.99567041,0.00040579,0.86765712,1.00000000,0.99391126,0.00000001,0.16410000,1.00000000
0.96460935,1.00000000,1.00000000,0.89025809,0.00000000,0.97411702,0.00319074,0.87294921,1.00000000,0.98488137,0.00000001,0.23226086,1.00000000
0.95830273,1.00000000,1.00000000,0.90000614,0.07780949,0.97018226,0.00894951,0.87811626,1.00000000,0.98243515,0.00000000,0.24816724,1.00000000
0.96634361,1.00000000,1.00000000,0.93819806,0.11913597,0.97384817,0.00812454,0.87176352,1.00000000,0.98870197,0.00000000,0.23770074,1.00000000
0.96824825,1.00000000,1.00000000,0.93939060,0.05700601,0.97489150,0.00073814,0.85468789,1.00000000,0.98920893,0.00000003,0.20081328,1.00000000
0.95631063,1.00000000,1.00000000,1.00000000,0.14007288,0.98866583,0.00368454,0.89840116,1.00000000,0.98694366,0.00000003,0.24557239,1.00000000
0.95593680,1.00000000,1.00000000,1.00000000,0.08807831,0.98612246,0.00235789,0.88447747,1.00000000,0.98250749,0.00000002,0.20719146,1.00000000
0.98805046,1.00000000,1.00000000,0.89004526,0.00000000,0.99282708,0.00043809,0.87180919,1.00000000,0.99018828,0.00000001,0.17497349,1.00000000
0.99255712,1.00000000,1.00000000,0.83933252,0.00000000,0.99746224,0.00461607,0.88899331,1.00000000,0.99849309,0.00000003,0.22298865,1.00000000
1.00000000,1.00000000,1.00000000,0.72821553,0.02237231,0.98390319,0.02166535,0.86149949,1.00000000,1.00000000,0.00015364,0.19817918,1.00000000
0.96319212,1.00000000,1.00000000,0.93031780,0.22135330,0.98835995,0.00778272,0.89581567,1.00000000,0.98945513,0.00000000,0.24382159,1.00000000
1.00000000,1.00000000,1.00000000,0.66392576,0.00000000,0.99366608,0.00112530,0.86674863,1.00000000,0.99186181,0.00000001,0.16192683,1.00000000
1.00000000,1.00000000,1.00000000,0.77053502,0.04254907,0.99727449,0.00243310,0.89967992,1.00000000,0.99627453,0.00000004,0.24927394,1.00000000
0.98549197,1.00000000,1.00000000,0.85249872,0.00000000,0.99463329,0.00000123,0.89114458,1.00000000,0.99201415,0.00000000,0.22717689,1.00000000
1.00000000,1.00000000,1.00000000,0.75638018,0.07551998,0.99217110,0.00744242,0.89003939,1.00000000,0.99316636,0.00000001,0.22577236,1.00000000
0.99627780,1.00000000,1.00000000,0.93359945,0.00000000,1.00000000,0.00002502,0.89014745,1.00000000,1.00000000,0.00000001,0.22430057,1.00000000
0.95568296,1.00000000,1.00000000,1.00000000,0.16167156,0.99242177,0.00062484,0.90867555,1.00000000,0.98912234,0.00000038,0.26747216,1.00000000
1.00000000,1.00000000,1.00000000,0.81659207,0.07657869,0.99924486,0.00533075,0.88159546,1.00000000,1.00000000,0.00000001,0.20123163,1.00000000
0.99138419,1.00000000,1.00000000,0.86819463,0.07399159,1.00000000,0.00086494,0.90243964,1.00000000,0.99921187,0.00000001,0.25722739,1.00000000
0.99569846,1.00000000,1.00000000,0.89157953,0.00000000,0.99604132,0.00514725,0.88369296,1.00000000,0.99690078,0.00000000,0.20839027,1.00000000
0.95853401,1.00000000,1.00000000,0.98429578,0.19918518,0.97260427,0.00488499,0.86124658,1.00000000,0.98336775,0.00000001,0.20134790,1.00000000
0.92611690,1.00000000,1.00000000,0.86730422,0.17899612,0.97981018,0.00053616,0.91151225,1.00000000,0.97064838,0.00000000,0.27705181,1.00000000
0.74071028,1.00000000,1.00000000,1.00000000,0.26180758,0.90599758,0.00048508,0.93529334,1.00000000,0.87911623,0.00000001,0.35743908,1.00000000
0.99532363,1.00000000,1.00000000,0.59313607,0.06256506,0.98134669,0.00072476,0.86108113,1.00000000,0.97583296,0.00000000,0.14683190,1.00000000
1.00000000,1.00000000,1.00000000,0.66873339,0.03215487,0.99497398,0.00104236,0.89023955,1.00000000,0.99317200,0.00000002,0.22505065,1.00000000
0.99841680,1.00000000,1.00000000,0.74075545,0.10195819,0.99097726,0.00906247,0.89772323,1.00000000,0.99268059,0.00000001,0.24811682,1.00000000
0.97082240,1.00000000,1.00000000,0.79810921,0.08227653,0.98783763,0.00613358,0.89036660,1.00000000,0.98693182,0.00000001,0.22739227,1.00000000
0.70598476,1.00000000,1.00000000,0.95316364,0.28954401,0.89306056,0.00023603,0.97880389,1.00000000,0.86145414,0.00000000,0.47348968,1.00000000
0.76471998,1.00000000,1.00000000,0.92219999,0.30685192,0.91034941,0.00076948,0.91906989,1.00000000,0.88456457,0.00000001,0.31002963,1.00000000
0.98557119,1.00000000,1.00000000,0.94420063,0.17042579,0.99843145,0.00168802,0.89530987,1.00000000,0.99800257,0.00000002,0.23850768,1.00000000
0.94087070,1.00000000,1.00000000,1.00000000,0.21890613,0.98050990,0.00031786,0.89943297,1.00000000,0.98526057,0.00000006,0.28459637,1.00000000
0.66386590,1.00000000,1.00000000,0.85136426,0.30363353,0.87057296,0.00000004,0.96387579,1.00000000,0.83329940,0.00000001,0.43808374,1.00000000
0.65335500,1.00000000,1.00000000,0.76097567,0.25371907,0.86570867,0.00002552,0.98649902,1.00000000,0.82658429,0.00000038,0.49761597,1.00000000
0.98692363,1.00000000,1.00000000,0.86079991,0.11098865,0.99581374,0.00011181,0.88645581,1.00000000,0.99373288,0.00000000,0.21464132,1.00000000
0.62661165,0.99384772,1.00000000,0.86751917,0.51990348,0.79903739,0.12711003,0.99795904,1.00000000,0.79062138,0.07051549,0.58142928,1.00000000
0.68031147,0.99555076,1.00000000,0.92160350,0.31086208,0.88219835,0.00004709,0.98642507,1.00000000,0.84787455,0.00000001,0.49647650,1.00000000
0.91021966,1.00000000,1.00000000,0.96601999,0.20608277,0.97210193,0.00150419,0.90968402,1.00000000,0.96480325,0.00000002,0.28104445,1.00000000
0.73881704,1.00000000,1.00000000,0.94186067,0.31430087,0.90872305,0.00016220,0.96872015,1.00000000,0.88200551,0.00000001,0.44523758,1.00000000
0.79146672,0.99983090,1.00000000,1.00000000,0.20297397,0.93254143,0.00044989,0.94205201,1.00000000,0.91287209,0.00000002,0.37183421,1.00000000
0.89732425,1.00000000,1.00000000,0.72932741,0.07053109,0.96622701,0.00213610,0.90570838,1.00000000,0.95724958,0.00000000,0.26996389,1.00000000
0.93022141,1.00000000,1.00000000,0.81227287,0.10548173,0.97897541,0.00301603,0.91692877,1.00000000,0.97836975,0.00001710,0.31129946,1.00000000
