E,Zc,d0,Wt,Wr,E0J,betaJ,tcJ,F0J,E0Tn,betaTn,tcTn,F0Tn
0.98034011,-3840.79660922,-12.07832275,248586.71352890,-18852.15422716,1.00000000,0.00063547,-0.00052206,-1818.37387226,0.99887721,0.00010000,-0.00051432,-1810.47820165
0.99673292,-3840.79660922,-12.07832275,234895.61548001,-16624.35509136,1.00000000,0.00177818,-0.00048180,-1818.37387226,1.00000000,0.00010000,-0.00047388,-1810.47820165
0.98660131,-3840.79660922,-12.07832275,246800.78724853,-19115.36201531,0.99306042,0.00593889,-0.00055402,-1818.37387226,0.99867083,0.00010000,-0.00054268,-1810.47820165
0.95110316,-3840.79660922,-12.07832275,195073.80204118,-15976.27694922,0.97856630,0.00036789,-0.00056942,-1818.37387226,0.97325653,0.00010000,-0.00056148,-1810.47820165
0.86678127,-3840.79660922,-12.07832275,274839.60329749,-18668.92824101,0.97224398,0.00088073,-0.00043333,-1818.37387226,0.96808251,0.00010000,-0.00042318,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,201981.62870276,-8061.31597377,0.98903607,0.00386443,-0.00059724,-1818.37387226,0.99247544,0.00010202,-0.00057795,-1810.47820165
0.99215398,-3840.79660922,-12.07832275,207521.52719102,-21367.79201131,0.99137999,0.00391627,-0.00053454,-1818.37387226,0.99333778,0.00011035,-0.00052288,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,198427.09006880,-22073.61285788,0.99794637,0.00010073,-0.00060390,-1818.37387226,0.99533657,0.00010000,-0.00059564,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,234995.94188521,-22073.61285788,1.00000000,0.00455362,-0.00051426,-1818.37387226,1.00000000,0.00010015,-0.00050139,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,225745.13531289,-22073.61285788,0.99936320,0.00337587,-0.00055231,-1818.37387226,1.00000000,0.00010004,-0.00054163,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,237544.74604947,-22073.61285788,1.00000000,0.00231145,-0.00054928,-1818.37387226,1.00000000,0.00010000,-0.00053879,-1810.47820165
0.99766228,-3840.79660922,-12.07832275,238428.19565758,-16400.84676426,0.99987323,0.00208064,-0.00054106,-1818.37387226,1.00000000,0.00010000,-0.00053132,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,211623.68771364,-22073.61285788,0.99753287,0.00348585,-0.00057007,-1818.37387226,0.99975043,0.00010000,-0.00056166,-1810.47820165
0.99417805,-3840.79660922,-12.07832275,243623.27521463,-15284.04418085,1.00000000,0.00041337,-0.00055485,-1818.37387226,0.99846073,0.00010000,-0.00054697,-1810.47820165
0.98952048,-3840.79660922,-12.07832275,243428.96472399,-17405.67271657,1.00000000,0.00029033,-0.00052202,-1818.37387226,1.00000000,0.00010000,-0.00051499,-1810.47820165
0.99555204,-3840.79660922,-12.07832275,234067.07390593,-22073.61285788,0.99963989,0.00146938,-0.00053930,-1818.37387226,0.99925930,0.00010000,-0.00053020,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,226986.71821215,-21014.39916333,0.99944599,0.00468427,-0.00053118,-1818.37387226,1.00000000,0.00013409,-0.00051966,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,239767.92141617,-21173.68570991,1.00000000,0.00390841,-0.00053644,-1818.37387226,1.00000000,0.00010000,-0.00052449,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,227813.24352357,-15175.97400219,0.99931724,0.00353461,-0.00050558,-1818.37387226,1.00000000,0.00010713,-0.00049441,-1810.47820165
0.88250992,-3840.79660922,-12.07832275,111801.15337110,-7940.84638219,0.93544101,0.00163028,-0.00078204,-1818.37387226,0.93174850,0.00010000,-0.00076327,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,238294.52747785,-21224.81715779,1.00000000,0.00295179,-0.00053501,-1818.37387226,1.00000000,0.00010000,-0.00052336,-1810.47820165
0.99597331,-3840.79660922,-12.07832275,236979.82581905,-18009.90967291,0.99887232,0.00184159,-0.00052597,-1818.37387226,0.99887576,0.00010000,-0.00051671,-1810.47820165
0.99525135,-3840.79660922,-12.07832275,227337.57006859,-18557.01325225,1.00000000,0.00223211,-0.00048766,-1818.37387226,1.00000000,0.00010000,-0.00047865,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,227251.74513924,-20517.32126592,1.00000000,0.00444873,-0.00051154,-1818.37387226,1.00000000,0.00012830,-0.00049882,-1810.47820165
0.98012328,-3840.79660922,-12.07832275,244978.34442364,-7620.71093344,0.99081665,0.00817163,-0.00049251,-1818.37387226,0.99950700,0.00010001,-0.00047729,-1810.47820165
0.87952893,-3840.79660922,-12.07832275,262164.57759726,-16862.78499280,0.97605823,0.00040047,-0.00041387,-1818.37387226,0.97296949,0.00010000,-0.00040111,-1810.47820165
0.69198746,-3842.62727819,-12.07832275,233278.24071893,-22073.61285788,0.90531694,0.00024594,-0.00032925,-1818.37387226,0.89347802,0.00010000,-0.00030544,-1810.47820165
0.99715545,-3840.79660922,-12.07832275,242813.61987220,-12043.63240721,0.99898785,0.00196302,-0.00052699,-1818.37387226,0.99914687,0.00010000,-0.00051792,-1810.47820165
0.92488300,-3840.79660922,-12.07832275,199561.58610723,-22073.61285788,0.97100395,0.00073767,-0.00054154,-1818.37387226,0.96617388,0.00010000,-0.00053254,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,222289.70837164,-22062.06249327,1.00000000,0.00429319,-0.00051484,-1818.37387226,1.00000000,0.00012683,-0.00050159,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,213069.56791755,-22073.61285788,0.99797989,0.00303707,-0.00053830,-1818.37387226,1.00000000,0.00011816,-0.00051590,-1810.47820165
0.98822354,-3840.79660922,-12.07832275,228115.93506542,-19550.43769503,0.99791914,0.00206173,-0.00050683,-1818.37387226,0.99803256,0.00010000,-0.00049759,-1810.47820165
0.99141818,-3840.79660922,-12.07832275,199789.94712655,-16556.99366524,0.98814681,0.00279687,-0.00055629,-1818.37387226,0.98826737,0.00010000,-0.00054580,-1810.47820165
0.93221505,-3840.79660922,-12.07832275,202828.27422280,-10930.51244902,0.97443660,0.00117819,-0.00052249,-1818.37387226,0.97062775,0.00010000,-0.00051350,-1810.47820165
0.99223013,-3840.79660922,-12.07832275,189733.46198959,-20915.55170357,0.98843298,0.00457901,-0.00050113,-1818.37387226,0.99103507,0.00010001,-0.00048844,-1810.47820165
0.91517943,-3840.79660922,-12.07832275,252406.65917804,-12970.97370186,0.98284422,0.00112515,-0.00048398,-1818.37387226,0.98012016,0.00010000,-0.00047359,-1810.47820165
0.99438420,-3840.79660922,-12.07832275,233003.22577755,-14034.13959952,1.00000000,0.00189802,-0.00048528,-1818.37387226,1.00000000,0.00010000,-0.00047687,-1810.47820165
0.96917360,-3840.79660922,-12.07832275,218221.44417642,-12345.97907142,0.98868226,0.00263667,-0.00049176,-1818.37387226,0.98826452,0.00010000,-0.00048463,-1810.47820165
0.99515882,-3840.79660922,-12.07832275,234829.14808666,-17403.58170346,1.00000000,0.00064247,-0.00054273,-1818.37387226,0.99868400,0.00010000,-0.00053471,-1810.47820165
0.99771865,-3840.79660922,-12.07832275,198457.28657217,-17874.62442014,0.98702299,0.00581232,-0.00051483,-1818.37387226,0.99107889,0.00010000,-0.00050142,-1810.47820165
0.98286050,-3840.79660922,-12.07832275,207557.21091312,-22073.61285788,0.98915965,0.00299173,-0.00053570,-1818.37387226,0.99004105,0.00010000,-0.00052281,-1810.47820165
0.95527604,-3840.79660922,-12.07832275,218079.01645804,-16914.83869776,0.99031284,0.00113870,-0.00045366,-1818.37387226,0.98820047,0.00010000,-0.00044556,-1810.47820165
0.60715850,-4094.51465501,-12.07832275,229927.09163598,47765.77279262,0.85009920,0.00017865,-0.00023945,-1818.37387226,0.83139732,0.00010000,-0.00021893,-1810.47820165
0.98209134,-3840.79660922,-12.07832275,212591.93384218,-22073.61285788,0.99037758,0.00077037,-0.00055732,-1818.37387226,0.98795313,0.00010000,-0.00054852,-1810.47820165
0.92129774,-3840.79660922,-12.07832275,193886.16717268,-12961.74697167,0.96880319,0.00255826,-0.00051998,-1818.37387226,0.96632599,0.00010000,-0.00050964,-1810.47820165
0.46034400,-4033.67423939,-12.07832275,173853.15075724,23439.39726401,0.57786146,0.17965810,-0.00019198,-1818.37387226,0.59558507,0.13314638,0.00008890,-1810.47820165
0.95271461,-3840.79660922,-12.07832275,231117.05394843,-20080.68335781,0.99303260,0.00017217,-0.00046376,-1818.37387226,0.99004252,0.00010000,-0.00045597,-1810.47820165
0.98403502,-3840.79660922,-12.07832275,220932.37809944,-22073.61285788,0.99604705,0.00055539,-0.00051215,-1818.37387226,0.99377672,0.00010000,-0.00050487,-1810.47820165
0.63637464,-3949.09972209,-12.07832275,208178.47764849,25403.36281918,0.82947639,0.03212858,-0.00029365,-1818.37387226,0.84626647,0.00442334,-0.00022241,-1810.47820165
0.56805485,-4064.90737206,-12.07832275,190185.84001573,24423.59800818,0.81603182,0.00010170,-0.00032515,-1818.37387226,0.79396894,0.00010000,-0.00029322,-1810.47820165
0.43747045,-4143.34016031,-12.07832275,155223.86074483,-1674.65650081,0.65029419,0.07522394,-0.00025502,-1818.37387226,0.70100911,0.00649436,-0.00004973,-1810.47820165
0.42146412,-4388.15756118,-12.07832275,168953.45505655,4224.26835787,0.70404603,0.00010010,-0.00036774,-1818.37387226,0.66867245,0.00010000,-0.00029751,-1810.47820165
0.34990395,-4841.54463443,-12.07832275,163440.90833818,55664.34049489,0.58745167,0.05990279,-0.00040022,-1818.37387226,0.61956643,0.00010099,-0.00009973,-1810.47820165
0.15070202,-5396.82740702,-12.07832275,204883.37238848,129226.58160962,0.32903189,0.15827125,-0.00084083,-1818.37387226,0.46233164,0.00012129,0.00056949,-1810.47820165
0.12439721,-5635.31919505,-12.07832275,296005.10960507,225463.34033111,0.28973082,0.16497494,-0.00084973,-1818.37387226,0.37729916,0.01536217,0.00037318,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,182927.58551765,-20142.93704193,0.99068229,0.00330301,-0.00052641,-1818.37387226,0.99684134,0.00010000,-0.00050152,-1810.47820165
0.25190923,-4791.32404548,-12.07832275,160533.58304429,132610.05700097,0.39713726,0.13966375,-0.00131745,-1818.37387226,0.53680772,0.00018684,-0.00005620,-1810.47820165
0.27523178,-4808.90078576,-12.07832275,128726.72541754,102070.44356751,0.34088574,0.20920176,-0.00152167,-1818.37387226,0.43530096,0.09395205,-0.00030771,-1810.47820165
0.89818516,-3840.79660922,-12.07832275,170035.19834124,-15277.55636916,0.95304326,0.00267168,-0.00054479,-1818.37387226,0.96122202,0.00013995,-0.00049165,-1810.47820165
0.99282483,-3840.79660922,-12.07832275,234151.97228233,-20087.75955653,1.00000000,0.00044858,-0.00053934,-1818.37387226,0.99881331,0.00010000,-0.00053224,-1810.47820165
0.99229243,-3840.79660922,-12.07832275,242787.88593715,-15538.54740295,1.00000000,0.00071456,-0.00054162,-1818.37387226,0.99856842,0.00010000,-0.00053397,-1810.47820165
0.98259976,-3840.79660922,-12.07832275,248498.96543636,-18345.95235947,0.99187179,0.00744874,-0.00051971,-1818.37387226,0.99974153,0.00010000,-0.00050423,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,230866.86013099,-22073.61285788,0.99789995,0.00309274,-0.00055966,-1818.37387226,0.99990717,0.00011498,-0.00055028,-1810.47820165
0.99935470,-3840.79660922,-12.07832275,232296.43076153,-19440.06749281,1.00000000,0.00223207,-0.00053314,-1818.37387226,1.00000000,0.00010000,-0.00052287,-1810.47820165
0.99816020,-3840.79660922,-12.07832275,234575.96956014,-22073.61285788,1.00000000,0.00263076,-0.00051229,-1818.37387226,1.00000000,0.00010488,-0.00050225,-1810.47820165
1.00000000,-3840.79660922,-12.07832275,213341.66456213,-17918.14384844,0.99873429,0.00360893,-0.00056080,-1818.37387226,1.00000000,0.00010007,-0.00055022,-1810.47820165
0.99963331,-3840.79660922,-12.07832275,237931.47538917,-18994.15503488,1.00000000,0.00223373,-0.00054811,-1818.37387226,1.00000000,0.00010000,-0.00053800,-1810.47820165
0.98507519,-3840.79660922,-12.07832275,240254.46684591,-12336.54649231,0.99610504,0.00256099,-0.00053797,-1818.37387226,0.99729505,0.00010000,-0.00052485,-1810.47820165
0.37093874,-4219.41150555,-12.07832275,157220.30612120,6673.69700706,0.58478776,0.06458941,-0.00064278,-1818.37387226,0.61514099,0.00048040,-0.00037864,-1810.47820165
0.45310506,-4642.20880257,-12.07832275,111801.15337110,-19635.68976509,0.46110579,0.18111584,-0.00134076,-1818.37387226,0.61016474,0.05758445,-0.00045763,-1810.47820165
0.28163350,-5001.00755115,-12.07832275,149992.16020599,66640.05827661,0.46365489,0.11330148,-0.00078076,-1818.37387226,0.56263127,0.00010056,0.00000989,-1810.47820165
0.18193304,-5300.32342420,-12.07832275,172545.49156002,84786.01961729,0.26975915,0.20053108,-0.00207577,-1818.37387226,0.43270020,0.03077465,0.00010153,-1810.47820165
