Zc,E0Tn,betaTn
-3596.72132481,252139.95124971,0.00010000
-3595.11731648,253855.70082959,0.00010000
-3591.17112990,246267.00679340,0.00010000
-3600.43424789,243298.10933266,0.00010000
-3600.29447738,245342.61819002,0.00010000
-3613.94733934,246264.11476969,0.00010000
-3618.81350100,254029.75700602,0.00010000
-3626.51127161,248933.13988369,0.00011608
-3632.56867264,258544.81011380,0.00010021
-3637.09722589,256705.98245072,0.00010000
-3649.83101872,256407.04636432,0.00010000
-3657.68008161,252100.68584909,0.00010000
-3664.12905641,243577.31055224,0.00010000
-3667.03372028,250897.68492122,0.00010000
-3678.03382490,258713.12909839,0.00010203
-3685.87836840,260350.65407186,0.00010002
-3685.94165835,256656.32839032,0.00010000
-3702.34198771,252810.83593675,0.00010000
-3707.18404248,247044.36768293,0.00010000
-3713.84543218,251849.41411008,0.00010000
-3726.18708377,246373.58124855,0.00010000
-3730.82123362,247344.64017074,0.00010000
-3728.21096191,257228.90746548,0.00010000
-3745.65075951,244475.75317861,0.00010000
-3744.79948803,259662.94300390,0.00010000
-3753.40905498,241631.82012214,0.00010000
-3761.60721316,255093.17867749,0.00010000
-3770.22375166,250286.75477994,0.00010000
-3776.80547128,256640.93922185,0.00010002
-3788.69791388,255783.01992563,0.00010000
-3795.05934287,248847.81641932,0.00010000
-3797.30259013,259943.53774953,0.00010000
-3808.55659204,261548.23472483,0.00010000
-3820.71042417,238810.62311917,0.00010000
-3819.16616161,251608.00306789,0.00010000
-3826.22621835,256388.77317162,0.00010000
-3833.24541653,258053.95844684,0.00010000
-3844.52670362,250907.41395517,0.00010000
-3855.22025625,253213.82769132,0.00010000
-3858.39649930,248793.40643308,0.00010000
-3869.40464573,247355.40609211,0.00010000
-3873.30800683,239719.98178199,0.00010000
-3883.13677719,255093.70000628,0.00010000
-3887.54880056,255288.72980555,0.00010074
-3897.38600158,254188.82102617,0.00011139
-3899.15814516,254183.56072430,0.00010000
-3905.69836330,254211.41001516,0.00010000
-3911.14204516,261217.10257037,0.00010000
-3921.34418015,255405.15932965,0.00010000
-3932.96248811,251267.08812881,0.00010000
-3936.62912971,258395.67515543,0.00010000
-3940.12882740,253953.94466459,0.00010000
-3953.79345709,244089.40922916,0.00010000
-3962.11665998,254144.55915740,0.00010000
-3964.76939169,249028.60629570,0.00010000
-3975.02539826,244266.94335690,0.00010001
-3978.29078712,261709.44734688,0.00010000
-3990.18336018,247282.80971241,0.00010006
-3993.35638440,258756.08056787,0.00010000
-4007.25879950,249017.34217824,0.00010000
-4008.17739892,260613.13667834,0.00010000
-4021.27111098,243965.81074423,0.00010000
-4018.11408360,257743.48275908,0.00010000
-4031.38367414,246578.15275927,0.00010000
